/home/namancho/Geo-UPSplus/ViT/vit_basic.py:230: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  input_data = torch.tensor(item["input_fields"][0]).type(torch.float32)  # Shape: [Lx, Ly, F]
/home/namancho/Geo-UPSplus/ViT/vit_basic.py:231: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  output_data = torch.tensor(item["output_fields"][0]).type(torch.float32)  # Shape: [Lx, Ly, F]
Epoch 1/400 | Train Loss: 763.994692 | Test Loss: 743.436915
Epoch 2/400 | Train Loss: 726.186529 | Test Loss: 702.521270
Epoch 3/400 | Train Loss: 682.437296 | Test Loss: 656.132377
Epoch 4/400 | Train Loss: 633.873247 | Test Loss: 605.612723
Epoch 5/400 | Train Loss: 581.862009 | Test Loss: 552.372230
Epoch 6/400 | Train Loss: 527.774558 | Test Loss: 497.854198
Epoch 7/400 | Train Loss: 472.882307 | Test Loss: 442.966242
Epoch 8/400 | Train Loss: 418.051567 | Test Loss: 388.514235
Epoch 9/400 | Train Loss: 364.239611 | Test Loss: 336.307224
Epoch 10/400 | Train Loss: 312.824050 | Test Loss: 286.333379
Epoch 11/400 | Train Loss: 264.415826 | Test Loss: 239.733726
Epoch 12/400 | Train Loss: 219.617057 | Test Loss: 197.330472
Epoch 13/400 | Train Loss: 178.875969 | Test Loss: 159.141973
Epoch 14/400 | Train Loss: 142.664242 | Test Loss: 125.897079
Epoch 15/400 | Train Loss: 111.155866 | Test Loss: 97.132895
Epoch 16/400 | Train Loss: 84.536966 | Test Loss: 73.515671
Epoch 17/400 | Train Loss: 62.783702 | Test Loss: 54.572028
Epoch 18/400 | Train Loss: 45.704254 | Test Loss: 40.069506
Epoch 19/400 | Train Loss: 32.840375 | Test Loss: 29.971958
Epoch 20/400 | Train Loss: 23.674451 | Test Loss: 22.663458
Epoch 21/400 | Train Loss: 17.486790 | Test Loss: 17.947411
Epoch 22/400 | Train Loss: 13.474158 | Test Loss: 15.315533
Epoch 23/400 | Train Loss: 11.049983 | Test Loss: 13.427328
Epoch 24/400 | Train Loss: 9.564815 | Test Loss: 12.893041
Epoch 25/400 | Train Loss: 8.671460 | Test Loss: 12.196530
Epoch 26/400 | Train Loss: 8.098987 | Test Loss: 12.062396
Epoch 27/400 | Train Loss: 7.665547 | Test Loss: 11.881948
Epoch 28/400 | Train Loss: 7.315998 | Test Loss: 11.905607
Epoch 29/400 | Train Loss: 7.008759 | Test Loss: 11.851622
Epoch 30/400 | Train Loss: 6.728671 | Test Loss: 11.877643
Epoch 31/400 | Train Loss: 6.491100 | Test Loss: 11.775920
Epoch 32/400 | Train Loss: 6.226953 | Test Loss: 11.677010
Epoch 33/400 | Train Loss: 5.991362 | Test Loss: 11.521625
Epoch 34/400 | Train Loss: 5.777552 | Test Loss: 11.654506
Epoch 35/400 | Train Loss: 5.555044 | Test Loss: 11.554609
Epoch 36/400 | Train Loss: 5.356581 | Test Loss: 11.497242
Epoch 37/400 | Train Loss: 5.188755 | Test Loss: 11.631927
Epoch 38/400 | Train Loss: 5.014765 | Test Loss: 11.435599
Epoch 39/400 | Train Loss: 4.835822 | Test Loss: 11.305139
Epoch 40/400 | Train Loss: 4.688719 | Test Loss: 11.443630
Epoch 41/400 | Train Loss: 4.559066 | Test Loss: 11.509893
Epoch 42/400 | Train Loss: 4.393322 | Test Loss: 11.350204
Epoch 43/400 | Train Loss: 4.252297 | Test Loss: 11.425533
Epoch 44/400 | Train Loss: 4.122514 | Test Loss: 11.372480
Epoch 45/400 | Train Loss: 3.999407 | Test Loss: 11.439427
Epoch 46/400 | Train Loss: 3.889096 | Test Loss: 11.457794
Epoch 47/400 | Train Loss: 3.778172 | Test Loss: 11.431889
Epoch 48/400 | Train Loss: 3.669239 | Test Loss: 11.373328
Epoch 49/400 | Train Loss: 3.584733 | Test Loss: 11.315063
Epoch 50/400 | Train Loss: 3.480190 | Test Loss: 11.444757
Epoch 51/400 | Train Loss: 3.392140 | Test Loss: 11.286997
Epoch 52/400 | Train Loss: 3.313327 | Test Loss: 11.406611
Epoch 53/400 | Train Loss: 3.231174 | Test Loss: 11.459563
Epoch 54/400 | Train Loss: 3.160738 | Test Loss: 11.371104
Epoch 55/400 | Train Loss: 3.089373 | Test Loss: 11.414043
Epoch 56/400 | Train Loss: 3.025103 | Test Loss: 11.338903
Epoch 57/400 | Train Loss: 2.958845 | Test Loss: 11.331511
Epoch 58/400 | Train Loss: 2.895921 | Test Loss: 11.440009
Epoch 59/400 | Train Loss: 2.840276 | Test Loss: 11.572408
Epoch 60/400 | Train Loss: 2.782169 | Test Loss: 11.344050
Epoch 61/400 | Train Loss: 2.730914 | Test Loss: 11.369627
Epoch 62/400 | Train Loss: 2.678561 | Test Loss: 11.441604
Epoch 63/400 | Train Loss: 2.635313 | Test Loss: 11.453954
Epoch 64/400 | Train Loss: 2.591731 | Test Loss: 11.474739
Epoch 65/400 | Train Loss: 2.551184 | Test Loss: 11.515387
Epoch 66/400 | Train Loss: 2.497107 | Test Loss: 11.434398
Epoch 67/400 | Train Loss: 2.462579 | Test Loss: 11.416774
Epoch 68/400 | Train Loss: 2.427517 | Test Loss: 11.413443
Epoch 69/400 | Train Loss: 2.391567 | Test Loss: 11.387340
Epoch 70/400 | Train Loss: 2.356699 | Test Loss: 11.444824
Epoch 71/400 | Train Loss: 2.329639 | Test Loss: 11.435231
Epoch 72/400 | Train Loss: 2.300984 | Test Loss: 11.408684
Epoch 73/400 | Train Loss: 2.271305 | Test Loss: 11.529120
Epoch 74/400 | Train Loss: 2.245862 | Test Loss: 11.379305
Epoch 75/400 | Train Loss: 2.217563 | Test Loss: 11.404944
Epoch 76/400 | Train Loss: 2.197445 | Test Loss: 11.374636
