nodenumber,    x-coordinate,    y-coordinate,velocity-magnitude
         1, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         2, 2.574654022E-01, 0.000000000E+00, 0.000000000E+00
         3, 5.138572084E-01, 0.000000000E+00, 0.000000000E+00
         4, 7.702490147E-01, 0.000000000E+00, 0.000000000E+00
         5, 1.026640821E+00, 0.000000000E+00, 0.000000000E+00
         6, 1.283032627E+00, 0.000000000E+00, 0.000000000E+00
         7, 1.539424434E+00, 0.000000000E+00, 0.000000000E+00
         8, 1.795816240E+00, 0.000000000E+00, 0.000000000E+00
         9, 2.052208046E+00, 0.000000000E+00, 0.000000000E+00
        10, 2.308599852E+00, 0.000000000E+00, 0.000000000E+00
        11, 2.564991659E+00, 0.000000000E+00, 0.000000000E+00
        12, 2.821383465E+00, 0.000000000E+00, 0.000000000E+00
        13, 3.077775271E+00, 0.000000000E+00, 0.000000000E+00
        14, 3.334167078E+00, 0.000000000E+00, 0.000000000E+00
        15, 3.590558884E+00, 0.000000000E+00, 0.000000000E+00
        16, 3.846950690E+00, 0.000000000E+00, 0.000000000E+00
        17, 4.103342496E+00, 0.000000000E+00, 0.000000000E+00
        18, 4.359734303E+00, 0.000000000E+00, 0.000000000E+00
        19, 4.616126109E+00, 0.000000000E+00, 0.000000000E+00
        20, 4.872517915E+00, 0.000000000E+00, 0.000000000E+00
        21, 5.128909721E+00, 0.000000000E+00, 0.000000000E+00
        22, 5.385301528E+00, 0.000000000E+00, 0.000000000E+00
        23, 5.641693334E+00, 0.000000000E+00, 0.000000000E+00
        24, 5.898085140E+00, 0.000000000E+00, 0.000000000E+00
        25, 6.154476947E+00, 0.000000000E+00, 0.000000000E+00
        26, 6.410868753E+00, 0.000000000E+00, 0.000000000E+00
        27, 6.667260559E+00, 0.000000000E+00, 0.000000000E+00
        28, 6.923652365E+00, 0.000000000E+00, 0.000000000E+00
        29, 7.180044172E+00, 0.000000000E+00, 0.000000000E+00
        30, 7.436435978E+00, 0.000000000E+00, 0.000000000E+00
        31, 7.692827784E+00, 0.000000000E+00, 0.000000000E+00
        32, 7.949219591E+00, 0.000000000E+00, 0.000000000E+00
        33, 8.205611397E+00, 0.000000000E+00, 0.000000000E+00
        34, 8.462003203E+00, 0.000000000E+00, 0.000000000E+00
        35, 8.718395009E+00, 0.000000000E+00, 0.000000000E+00
        36, 8.974786816E+00, 0.000000000E+00, 0.000000000E+00
        37, 9.231178622E+00, 0.000000000E+00, 0.000000000E+00
        38, 9.487570428E+00, 0.000000000E+00, 0.000000000E+00
        39, 9.743962234E+00, 0.000000000E+00, 0.000000000E+00
        40, 1.000035404E+01, 0.000000000E+00, 0.000000000E+00
        41, 1.025674585E+01, 0.000000000E+00, 0.000000000E+00
        42, 1.051313765E+01, 0.000000000E+00, 0.000000000E+00
        43, 1.076952946E+01, 0.000000000E+00, 0.000000000E+00
        44, 1.102592127E+01, 0.000000000E+00, 0.000000000E+00
        45, 1.128231307E+01, 0.000000000E+00, 0.000000000E+00
        46, 1.153870488E+01, 0.000000000E+00, 0.000000000E+00
        47, 1.179509668E+01, 0.000000000E+00, 0.000000000E+00
        48, 1.205148849E+01, 0.000000000E+00, 0.000000000E+00
        49, 1.230788030E+01, 0.000000000E+00, 0.000000000E+00
        50, 1.256427210E+01, 0.000000000E+00, 0.000000000E+00
        51, 1.282066391E+01, 0.000000000E+00, 0.000000000E+00
        52, 1.307705572E+01, 0.000000000E+00, 0.000000000E+00
        53, 1.333344752E+01, 0.000000000E+00, 0.000000000E+00
        54, 1.358983933E+01, 0.000000000E+00, 0.000000000E+00
        55, 1.384623113E+01, 0.000000000E+00, 0.000000000E+00
        56, 1.410262294E+01, 0.000000000E+00, 0.000000000E+00
        57, 1.435901475E+01, 0.000000000E+00, 0.000000000E+00
        58, 1.461540655E+01, 0.000000000E+00, 0.000000000E+00
        59, 1.487179836E+01, 0.000000000E+00, 0.000000000E+00
        60, 1.512819017E+01, 0.000000000E+00, 0.000000000E+00
        61, 1.538458197E+01, 0.000000000E+00, 0.000000000E+00
        62, 1.564097378E+01, 0.000000000E+00, 0.000000000E+00
        63, 1.589736559E+01, 0.000000000E+00, 0.000000000E+00
        64, 1.615375739E+01, 0.000000000E+00, 0.000000000E+00
        65, 1.641014920E+01, 0.000000000E+00, 0.000000000E+00
        66, 1.666654100E+01, 0.000000000E+00, 0.000000000E+00
        67, 1.692293281E+01, 0.000000000E+00, 0.000000000E+00
        68, 1.717932462E+01, 0.000000000E+00, 0.000000000E+00
        69, 1.743571642E+01, 0.000000000E+00, 0.000000000E+00
        70, 1.769210823E+01, 0.000000000E+00, 0.000000000E+00
        71, 1.794850004E+01, 0.000000000E+00, 0.000000000E+00
        72, 1.820489184E+01, 0.000000000E+00, 0.000000000E+00
        73, 1.846128365E+01, 0.000000000E+00, 0.000000000E+00
        74, 1.871767545E+01, 0.000000000E+00, 0.000000000E+00
        75, 1.897406726E+01, 0.000000000E+00, 0.000000000E+00
        76, 1.923045907E+01, 0.000000000E+00, 0.000000000E+00
        77, 1.948685087E+01, 0.000000000E+00, 0.000000000E+00
        78, 1.974324268E+01, 0.000000000E+00, 0.000000000E+00
        79, 1.999963449E+01, 0.000000000E+00, 0.000000000E+00
        80, 2.025602629E+01, 0.000000000E+00, 0.000000000E+00
        81, 2.051241810E+01, 0.000000000E+00, 0.000000000E+00
        82, 2.076880990E+01, 0.000000000E+00, 0.000000000E+00
        83, 2.102520171E+01, 0.000000000E+00, 0.000000000E+00
        84, 2.128159352E+01, 0.000000000E+00, 0.000000000E+00
        85, 2.153798532E+01, 0.000000000E+00, 0.000000000E+00
        86, 2.179437713E+01, 0.000000000E+00, 0.000000000E+00
        87, 2.205076894E+01, 0.000000000E+00, 0.000000000E+00
        88, 2.230716074E+01, 0.000000000E+00, 0.000000000E+00
        89, 2.256355255E+01, 0.000000000E+00, 0.000000000E+00
        90, 2.281994435E+01, 0.000000000E+00, 0.000000000E+00
        91, 2.307633616E+01, 0.000000000E+00, 0.000000000E+00
        92, 2.333272797E+01, 0.000000000E+00, 0.000000000E+00
        93, 2.358911977E+01, 0.000000000E+00, 0.000000000E+00
        94, 2.384551158E+01, 0.000000000E+00, 0.000000000E+00
        95, 2.410190339E+01, 0.000000000E+00, 0.000000000E+00
        96, 2.435829519E+01, 0.000000000E+00, 0.000000000E+00
        97, 2.461468700E+01, 0.000000000E+00, 0.000000000E+00
        98, 2.487107880E+01, 0.000000000E+00, 0.000000000E+00
        99, 2.512747061E+01, 0.000000000E+00, 0.000000000E+00
       100, 2.538386242E+01, 0.000000000E+00, 0.000000000E+00
       101, 2.564025422E+01, 0.000000000E+00, 0.000000000E+00
       102, 2.589664603E+01, 0.000000000E+00, 0.000000000E+00
       103, 2.615303784E+01, 0.000000000E+00, 0.000000000E+00
       104, 2.640942964E+01, 0.000000000E+00, 0.000000000E+00
       105, 2.666582145E+01, 0.000000000E+00, 0.000000000E+00
       106, 2.692221326E+01, 0.000000000E+00, 0.000000000E+00
       107, 2.717860506E+01, 0.000000000E+00, 0.000000000E+00
       108, 2.743499687E+01, 0.000000000E+00, 0.000000000E+00
       109, 2.769138867E+01, 0.000000000E+00, 0.000000000E+00
       110, 2.794778048E+01, 0.000000000E+00, 0.000000000E+00
       111, 2.820417229E+01, 0.000000000E+00, 0.000000000E+00
       112, 2.846056409E+01, 0.000000000E+00, 0.000000000E+00
       113, 2.871695590E+01, 0.000000000E+00, 0.000000000E+00
       114, 2.897334771E+01, 0.000000000E+00, 0.000000000E+00
       115, 2.922973951E+01, 0.000000000E+00, 0.000000000E+00
       116, 2.948613132E+01, 0.000000000E+00, 0.000000000E+00
       117, 2.974252312E+01, 0.000000000E+00, 0.000000000E+00
       118, 3.000000000E+01, 0.000000000E+00, 0.000000000E+00
       119, 2.540540906E-01, 2.503208163E-01, 4.217744528E+01
       120, 5.091510858E-01, 2.508706683E-01, 3.635983870E+01
